Country,Unemployment rate,Agricultural Land( %),Population,Land Area(Km2),GDP,Life expectancy
Afghanistan,11.12%,58.10%,"38,041,754","652,230","$19,101,353,833",64.5
Albania,12.33%,43.10%,"2,854,191","28,748","$15,278,077,447",78.5
Algeria,11.70%,17.40%,"43,053,054","2,381,741","$169,988,236,398",76.7
Andorra,,40.00%,"77,142",468,"$3,154,057,987",
Angola,6.89%,47.50%,"31,825,295","1,246,700","$94,635,415,870",60.8
Antigua and Barbuda,,20.50%,"97,118",443,"$1,727,759,259",76.9
Argentina,9.79%,54.30%,"44,938,712","2,780,400","$449,663,446,954",76.5
Armenia,16.99%,58.90%,"2,957,731","29,743","$13,672,802,158",74.9
Australia,5.27%,48.20%,"25,766,605","7,741,220","$1,392,680,589,329",82.7
Austria,4.67%,32.40%,"8,877,067","83,871","$446,314,739,528",81.6
Azerbaijan,5.51%,57.70%,"10,023,318","86,600","$39,207,000,000",72.9
The Bahamas,10.36%,1.40%,"389,482","13,880","$12,827,000,000",73.8
Bahrain,0.71%,11.10%,"1,501,635",765,"$38,574,069,149",77.2
Bangladesh,4.19%,70.60%,"167,310,838","148,460","$302,571,254,131",72.3
Barbados,10.33%,23.30%,"287,025",430,"$5,209,000,000",79.1
Belarus,4.59%,42.00%,"9,466,856","207,600","$63,080,457,023",74.2
Belgium,5.59%,44.60%,"11,484,055","30,528","$529,606,710,418",81.6
Belize,6.41%,7.00%,"390,353","22,966","$1,879,613,600",74.5
Benin,2.23%,33.30%,"11,801,151","112,622","$14,390,709,095",61.5
Bhutan,2.34%,13.60%,"727,145","38,394","$2,446,674,101",71.5
Bolivia,3.50%,34.80%,"11,513,100","1,098,581","$40,895,322,865",71.2
Bosnia and Herzegovina,18.42%,43.10%,"3,301,000","51,197","$20,047,848,435",77.3
Botswana,18.19%,45.60%,"2,346,179","581,730","$18,340,510,789",69.3
Brazil,12.08%,33.90%,"212,559,417","8,515,770","$1,839,758,040,766",75.7
Brunei,9.12%,2.70%,"433,285","5,765","$13,469,422,941",75.7
Bulgaria,4.34%,46.30%,"6,975,761","110,879","$86,000,000,000",74.9
Burkina Faso,6.26%,44.20%,"20,321,378","274,200","$15,745,810,235",61.2
Burundi,1.43%,79.20%,"11,530,580","27,830","$3,012,334,882",61.2
Ivory Coast,3.32%,64.80%,"25,716,544","322,463","$58,792,205,642",57.4
Cape Verde,12.25%,19.60%,"483,628","4,033","$1,981,845,741",72.8
Cambodia,0.68%,30.90%,"16,486,542","181,035","$27,089,389,787",69.6
Cameroon,3.38%,20.60%,"25,876,380","475,440","$38,760,467,033",58.9
Canada,5.56%,6.90%,"36,991,981","9,984,670","$1,736,425,629,520",81.9
Central African Republic,3.68%,8.20%,"4,745,185","622,984","$2,220,307,369",52.8
Chad,1.89%,39.70%,"15,946,876","1,284,000","$11,314,951,343",54
Chile,7.09%,21.20%,"18,952,038","756,096","$282,318,159,745",80
China,4.32%,56.20%,"1,397,715,000","9,596,960","$19,910,000,000,000",77
Colombia,9.71%,40.30%,"50,339,443","1,138,910","$323,802,808,108",77.1
Comoros,4.34%,71.50%,"850,886","2,235","$1,185,728,677",64.1
Republic of the Congo,9.47%,31.10%,"5,380,508","342,000","$10,820,591,131",64.3
Costa Rica,11.85%,34.50%,"5,047,561","51,100","$61,773,944,174",80.1
Croatia,6.93%,27.60%,"4,067,500","56,594","$60,415,553,039",78.1
Cuba,1.64%,59.90%,"11,333,483","110,860","$100,023,000,000",78.7
Cyprus,7.27%,12.20%,"1,198,575","9,251","$24,564,647,935",80.8
Czech Republic,1.93%,45.20%,"10,669,709","78,867","$246,489,245,495",79
Democratic Republic of the Congo,4.24%,11.60%,"86,790,567","2,344,858","$47,319,624,204",60.4
Denmark,4.91%,62.00%,"5,818,553","43,094","$348,078,018,464",81
Djibouti,10.30%,73.40%,"973,560","23,200","$3,318,716,359",66.6
Dominica,,33.30%,"71,808",751,"$596,033,333",76.6
Dominican Republic,5.84%,48.70%,"10,738,958","48,670","$88,941,298,258",73.9
Ecuador,3.97%,22.20%,"17,373,662","283,561","$107,435,665,000",76.8
Egypt,10.76%,3.80%,"100,388,073","1,001,450","$303,175,127,598",71.8
El Salvador,4.11%,76.40%,"6,453,553","21,041","$27,022,640,000",73.1
Equatorial Guinea,6.43%,10.10%,"1,355,986","28,051","$11,026,774,945",58.4
Eritrea,5.14%,75.20%,"6,333,135","117,600","$2,065,001,626",65.9
Estonia,5.11%,23.10%,"1,331,824","45,228","$31,386,949,981",78.2
Eswatini,,,"1,093,238","17,364","$3,791,304,348",
Ethiopia,2.08%,36.30%,"112,078,730","1,104,300","$96,107,662,398",66.2
Fiji,4.10%,23.30%,"889,953","18,274","$5,535,548,972",67.3
Finland,6.59%,7.50%,"5,520,314","338,145","$268,761,201,365",81.7
France,8.43%,52.40%,"67,059,887","643,801","$2,715,518,274,227",82.5
Gabon,20.00%,20.00%,"2,172,579","267,667","$16,657,960,228",66.2
The Gambia,9.06%,59.80%,"2,347,706","11,300","$1,763,819,048",61.7
Georgia,14.40%,34.50%,"3,720,382","69,700","$17,743,195,770",73.6
Germany,3.04%,47.70%,"83,132,799","357,022","$3,845,630,030,824",80.9
Ghana,4.33%,69.00%,"30,792,608","238,533","$66,983,634,224",63.8
Greece,17.24%,47.60%,"10,716,322","131,957","$209,852,761,469",81.3
Grenada,,23.50%,"112,003",349,"$1,228,170,370",72.4
Guatemala,2.46%,36.00%,"16,604,026","108,889","$76,710,385,880",74.1
Guinea,4.30%,59.00%,"12,771,246","245,857","$13,590,281,809",61.2
